chrom	start	end	summary_label	compare_label	background_category	category_pop_count	category_pop_freq	asm_fishers_pvalue	mean_hap1_methyl	mean_hap2_methyl	mean_meth_delta	mean_abs_meth_delta_zscore	mean_combined_methyl	mean_combined_methyl_zscore	num_phased_cpgs	num_partial_cpgs	num_unphased_cpgs
chr19	45664741	45664984	Unmethylated	InsufficientData				1.0	0.018601190476190473	0.028935185185185182	0.01033399470899471		0.03306159420289855		4	0	0
chr19	45667703	45668053	Uncategorized	InsufficientData				0.00014343948191731636	0.29592959295929594	0.07596371882086168	-0.21996587413843424		0.2222222222222222		3	0	0
chr19	45668830	45669067	Unmethylated	InsufficientData				1.0	0.03333333333333333	0.0272108843537415	-0.006122448979591839		0.035234899328859065		4	0	0
chr19	45669240	45669446	Unmethylated	InsufficientData				0.681743920734178	0.06864737985401673	0.05664276730922139	-0.01200461254479534		0.06742975459027133		16	0	0
chr19	45669438	45669648	Unmethylated	InsufficientData				0.002312013917516123	0.038084596294243794	0.0320021711951211	-0.006082425099122687		0.03198981153526608		11	0	0
chr19	45670914	45671277	Unmethylated	InsufficientData				0.7195147536962988	0.0429557295813169	0.08202522222838274	0.039069492647065815		0.04801589430041465		20	0	0
chr19	45677353	45677714	Unmethylated	InsufficientData				0.14390146879460491	0.022631588071899533	0.024364069772756496	0.0017324817008569685		0.0258955086153498		20	0	0
chr19	45681538	45681769	Unmethylated	InsufficientData				0.8250803873587638	0.04030656170339973	0.0410343559641429	0.0007277942607431721		0.04293012136389725		23	0	0
chr19	45691846	45692089	Unmethylated	InsufficientData				0.7539326734377436	0.027020544456532042	0.0215202210255598	-0.005500323430972239		0.027160356991389488		16	0	0
chr19	45692169	45692735	Unmethylated	InsufficientData				0.5533611914145949	0.09455481569238124	0.09396754601201067	-0.0005872696803705348		0.09767039287541346		39	0	0
chr19	45692833	45693119	Unmethylated	InsufficientData				0.000017241889946342893	0.09845891187639774	0.028004804932771233	-0.0704541069436265		0.06725338903039074		20	0	0
chr19	45693394	45693595	Unmethylated	InsufficientData				0.25094853935360406	0.022909359064916375	0.0115046732485071	-0.011404685816409275		0.022917188954894554		9	0	0
chr19	45707334	45707564	Unmethylated	InsufficientData				1.5564999282831536e-13	0.22300595238095236	0.04683779761904762	-0.17616815476190473		0.14241473616473616		8	0	0
chr19	45716627	45716832	Unmethylated	InsufficientData				0.0008300129082424345	0.031543354528735905	0.1874774774774775	0.1559341229487416		0.050535299027418844		5	0	0
chr19	45717243	45717586	Unmethylated	InsufficientData				0.3420327914738368	0.027232203592573414	0.01922592582167949	-0.008006277770893916		0.029862912191712436		30	0	0
chr19	45717268	45717778	Unmethylated	InsufficientData				0.37729864369492844	0.026866682362999092	0.02286737842545237	-0.00399930393754673		0.03086431134281673		36	0	0
chr19	45717695	45717982	Unmethylated	InsufficientData				0.022394466809271502	0.025122262715580428	0.017442013960032716	-0.00768024875554771		0.02578823455439694		14	0	0
chr19	45722008	45722358	Uncategorized	InsufficientData				6.397549692934802e-10	0.512873013404089	0.84375	0.330876986595911		0.5542232259561979		4	0	0
chr19	45722663	45722896	Methylated	InsufficientData				0.008432955933042382	0.8805435247160723	0.6900610902255638	-0.19048243449050845		0.8786283121486566		8	0	0
chr19	45730083	45730260	Unmethylated	InsufficientData				0.01031684359083041	0.15234374999999997	0.02631578947368421	-0.1260279605263158		0.09958333333333333		4	0	0
chr19	45730287	45730489	Unmethylated	InsufficientData				0.14885780485215863	0.02485394485394485	0.049589550506835764	0.024735605652890912		0.0291690781244571		5	0	0
chr19	45730798	45731196	Unmethylated	InsufficientData				0.583327261484637	0.02648674389041779	0.021781715176333247	-0.004705028714084548		0.026779107673584542		33	0	0
