Region,Bound Count,Unbound Count,Nucleosome Count,Uncategorized Count,Fiber Count,+ Strand Count,- Strand Count,Fraction Bound,pval
chr19:45681587-45681600,0,63,11,0,74,37,37,0.0
chr19:45681673-45681686,37,25,11,1,74,37,37,0.5068493150684932
chr19:45693442-45693455,2,72,14,1,89,46,43,0.022727272727272728
chr19:45693501-45693514,42,39,7,2,90,46,44,0.4772727272727273
chr19:45717334-45717347,0,72,4,1,77,33,44,0.0
chr19:45730777-45730790,18,16,73,3,110,49,61,0.16822429906542055
chr19:45753733-45753746,0,27,79,1,107,49,58,0.0
chr19:45770329-45770342,48,27,17,2,94,50,44,0.5217391304347826
chr19:45770402-45770415,15,64,13,4,96,51,45,0.16304347826086957
chr19:45779355-45779368,3,22,81,0,106,51,55,0.02830188679245283
chr19:45799203-45799216,45,47,13,4,109,39,70,0.42857142857142855
chr19:45799275-45799288,0,62,44,3,109,38,71,0.0
chr19:45817216-45817229,4,91,9,7,111,56,55,0.038461538461538464
chr19:45817276-45817289,69,31,4,6,110,56,54,0.6634615384615384
chr19:45817367-45817380,70,22,12,3,107,55,52,0.6730769230769231
