Region,Bound Count,Unbound Count,Nucleosome Count,Uncategorized Count,Fiber Count,+ Strand Count,- Strand Count,Fraction Bound,pval
chr19:45681587-45681600,1,35,7,0,43,24,19,0.023255813953488372
chr19:45681673-45681686,23,17,3,0,43,24,19,0.5348837209302325
chr19:45693442-45693455,0,33,4,2,39,21,18,0.0
chr19:45693501-45693514,17,18,2,1,38,20,18,0.4594594594594595
chr19:45717334-45717347,0,33,0,2,35,14,21,0.0
chr19:45730777-45730790,8,8,28,0,44,24,20,0.18181818181818182
chr19:45753733-45753746,2,13,18,1,34,15,19,0.06060606060606061
chr19:45770329-45770342,21,9,4,1,35,18,17,0.6176470588235294
chr19:45770402-45770415,5,26,3,1,35,18,17,0.14705882352941177
chr19:45779355-45779368,0,9,32,2,43,15,28,0.0
chr19:45799203-45799216,11,28,2,8,49,22,27,0.2682926829268293
chr19:45799275-45799288,0,31,11,6,48,22,26,0.0
chr19:45817216-45817229,6,34,5,1,46,21,25,0.13333333333333333
chr19:45817276-45817289,21,20,4,1,46,21,25,0.4666666666666667
chr19:45817367-45817380,25,16,4,1,46,21,25,0.5555555555555556
